REGISTRATION_NUMBER,COMPANY_NAME,Year,INDUSTRY_TYPE,PRETAX_PROFIT_PERCENTAGE,CURRENT_RATIO,SALES_PER_NET_WORKING_CAPITAL,GEARING_RATIO,EQUITY_RATIO,CREDITOR_DAYS,DEBTOR_DAYS,LIQUIDITY_TEST,RETURN_CAPITAL_EMPLOYED,RETURN_TOTAL_ASSETS,DEBT_EQUITY,RETURN_EQUITY,RETURN_NET_ASSETS,TOTAL_DEBT_RATIO,EBITDA,Z,PRETAX_PROFIT_PERCENTAGE_Iscore,Iscore_all,Iservice,Iservice_category,CURRENT_RATIO_Iscore,SALES_PER_NET_WORKING_CAPITAL_Iscore,GEARING_RATIO_Iscore,EQUITY_RATIO_Iscore,CREDITOR_DAYS_Iscore,DEBTOR_DAYS_Iscore,LIQUIDITY_TEST_Iscore,RETURN_CAPITAL_EMPLOYED_Iscore,RETURN_TOTAL_ASSETS_Iscore,DEBT_EQUITY_Iscore,RETURN_EQUITY_Iscore,RETURN_NET_ASSETS_Iscore,TOTAL_DEBT_RATIO_Iscore,EBITDA_Iscore,Z_Iscore
486100,ETEX (EXTERIORS) UK LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",17.78411793,3.581967213,1.669047619,7.269954245,84.89425982,34.53875416,6.59533999,174799999.5,17.93764988,14.535561600000001,0.248093543,12.17308607,19.01372649,0.35417884278199885,41300000.0,3.7843314619063926,5,44,3,Reasonable_performance,5,2,2,4,4,2,5,4,4,2,4,3,2,1,4
499622,JELD-WEN UK LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",43.99625201,5.5902471910000004,1.055398353,3.585484652,82.86561571,32.43624236,95.90684751,124382999.2,38.91710912,32.90842349,0.18913474,16.17389207,40.31247609,0.2291641413704133,2343000.0,4.625389887995897,6,52,4,Better_returns,5,1,2,4,4,5,5,4,5,2,4,4,2,5,4
499622,JELD-WEN UK LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",43.99625201,5.5902471910000004,1.055398353,3.585484652,82.86561571,32.43624236,95.90684751,124382999.2,38.91710912,32.90842349,0.18913474,16.17389207,40.31247609,0.2291641413704133,2343000.0,4.625389887995897,6,52,4,Better_returns,5,1,2,4,4,5,5,4,5,2,4,4,2,5,4
501259,ARBOR FOREST PRODUCTS LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",5.928007839,2.116110955,3.8943616010000004,4.029448734,59.4826113,48.63435357,74.02209788,37761999.06,15.87323506,9.822267795,0.640869097,21.70723532,16.51283893,0.6811635841264141,6097000.0,3.5708794313671914,4,50,4,Better_returns,4,3,2,3,5,5,4,3,4,2,5,3,2,5,3
526758,ROSEWOOD MANUFACTURING COMPANY (GATESHEAD) LIMITED(THE),2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.619212464,1.041240001,69.81771748,80.81399582,27.39815898,39.12355119,70.51764972,2787967.8310000002,11.2275681,5.40455837,1.892955639,5.885533164,19.72599098,2.6498802739383187,466026.0,2.032105065235758,3,45,3,Reasonable_performance,3,4,3,2,4,5,2,3,3,3,3,3,3,4,2
549613,PTG TREATMENTS LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",25.1262419,6.095406112999999,0.952223061,0.0,86.77190108,25.54572668,54.77271361,3574272.881,18.58503386,16.1265872,0.15244680300000002,2.452609421,18.58503386,0.15244680306220526,855144.0,6.223376941837393,5,41,2,Moderate,5,1,0,4,4,4,3,4,5,1,2,3,1,4,5
564890,ASKERN UK LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.827681702,1.5791978919999998,4.55420246,95.49850882,37.67314681,58.53416266,102.6002718,4042594.5939999996,11.34010936,5.998435933,1.250340193,15.39457754,15.92231189,1.6544105939045584,415337.0,2.231822225967328,4,49,4,Better_returns,4,3,3,3,5,5,3,3,3,3,4,3,3,4,2
575967,NEAL BROTHERS (LEICESTER) LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",0.647396659,0.810711252,-13.19078071,75.24966812,36.27042214,42.61101516,82.66263398,6521246.92,1.024757768,0.62716567,1.0807017859999999,3.1939450039999997,1.746914391,1.8374931487074768,803894.0,1.3328046049975901,3,39,2,Moderate,2,0,3,3,4,5,4,2,2,3,2,2,3,4,2
597855,ALEXANDER CLEGHORN LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",-0.49349855200000003,1.798869861,4.772590505,13.04931358,54.54365367,71.12457447,2.324141615,6102987.505,-1.169882262,-0.721363746,0.7029007290000001,12.97685887,-1.322543867,0.8333938648964516,453622.0,2.6962042148542724,0,36,2,Moderate,4,3,2,3,5,2,3,0,0,3,4,0,3,4,3
672142,UV GROUP PLC,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.432624113,5.408534008999999,1.2431241020000001,0.008364001,83.46830494,27.40595128,83.56845513,12801998.23,4.808898553,4.014241832,0.197975912,32.38513722,4.809300769,0.19805955168952827,603000.0,4.9842215484124175,4,45,3,Reasonable_performance,5,1,1,4,4,5,4,3,3,2,5,2,2,4,5
673817,T.W. ENGINEERING COMPANY LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",10.33183035,3.187191358,3.321627476,0.60266177,73.39144295,28.51094914,83.20006854,6936819.424,26.60122530000001,19.64068088,0.356530051,7.924948185,26.76154071,0.3625566684713211,1757943.0,5.091008489627101,5,50,4,Better_returns,5,2,1,4,4,5,4,4,5,2,3,4,2,5,5
818914,THOMAS ARMSTRONG (TIMBER) LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",5.1479771439999995,0.848950181,-16.65860342,288.4533461000001,12.78131842,13.44433997,71.89635998,3228183.684,82.38056612,11.19362979,6.760827822,12.56098522,87.57805277,6.8239189958039965,624923.0,2.6792353996316867,4,48,4,Better_returns,2,0,3,2,3,5,3,5,4,4,4,5,4,4,3
859710,CLIFFORD JONES TIMBER LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2.008706569,1.241365244,11.99579326,74.44426750000002,42.05689133,66.58803686,72.88514519,3490476.6760000004,3.447687732,2.16454617,0.8849311459999999,11.17523208,5.146709855,1.3777316118571372,569551.0,1.849103393164579,3,47,3,Reasonable_performance,3,4,3,3,5,5,3,2,3,3,4,2,3,4,2
878297,LAMBSON BUILDING PRODUCTS LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.839583763,1.329698947,6.055194706,39.03897972,30.85562301,46.8803124,112.5183975,16692884.61,7.300819512,2.443417485,2.156245062,19.44011648,7.918872627000001,2.2409003686639744,930584.0,2.036687195891637,3,48,4,Better_returns,3,3,3,2,4,5,4,3,3,3,4,3,3,5,2
897076,NEWMOR GROUP LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",4.441937147,2.0319946190000002,4.96123806,89.57107983,34.73151656,44.36468738,75.42950824,10688691.49,12.1368189,7.9136287560000005,1.001871487,9.87754147,22.78515175,1.8792292963678183,1379475.0,2.809162576571544,4,50,4,Better_returns,4,3,3,3,4,5,4,3,3,3,3,4,3,5,3
907445,HARLOW BROS. LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.045851324,3.28475746,3.040434803,1.840641524,72.38318948,38.74196076,54.59421155,14982483.64,2.590517633,1.909613143,0.36312983299999996,19.61290624,2.638199776,0.3815362478204082,953503.0,4.304242006650107,3,45,3,Reasonable_performance,5,2,2,4,4,4,4,2,3,2,4,2,2,5,4
910291,H.S.JACKSON & SON(FENCING)LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.9676077339999996,2.4887222,3.499301579,2.131777912,71.80853036,33.63441704,59.03245311,14542113.2,9.384395369,6.454068341,0.462718019,15.31968713,9.564013442,0.5290875711279451,1667244.0,3.666189010333471,3,46,3,Reasonable_performance,4,2,2,4,4,4,4,3,3,2,4,3,2,5,4
914878,"DAVID SMITH,ST.IVES,LIMITED",2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1.903316455,1.475992533,11.7295506,21.0716939,45.94102326,40.77234177,49.80911908,3705955.6960000005,8.478540852,4.715897964,0.9659868629999999,5.450218795,10.26511303,1.1767038020091327,563853.0,3.5990777358692227,3,45,3,Reasonable_performance,3,4,2,3,4,4,3,3,3,3,3,3,3,4,3
981905,KRONOSPAN LIMITED,2017,"manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",3.684959605,1.639798018,6.348223539,55.7997142,48.65077648,39.06228808,32.40675625,96447999.55,5.558081095,4.052965253,0.556615469,10.96111181,8.330730867,1.0554656521780277,20558000.0,2.230684765748264,3,49,4,Better_returns,4,3,3,3,4,3,5,3,3,2,4,3,3,6,2
